timestamp,nodeId,rssi,temp,hum,light,co2ppm,soilMoisture,voltage
2025-06-09 12:24:49,NODE_1,-66,27.40,62.00,751,528.00,0.00,7.32,1
2025-06-09 12:24:59,NODE_1,-63,27.60,63.00,752,528.00,0.00,7.32,1
2025-06-09 12:25:09,NODE_1,-64,27.10,63.00,757,523.00,0.00,7.31,1
2025-06-09 12:25:20,NODE_1,-64,27.60,63.00,763,511.00,0.00,7.33,1
2025-06-09 12:25:30,NODE_1,-65,27.90,63.00,746,497.00,0.00,7.30,1
2025-06-09 12:25:40,NODE_1,-65,27.60,63.00,741,493.00,0.00,7.27,1
2025-06-09 12:25:50,NODE_1,-67,27.10,63.00,742,485.00,0.00,7.32,1
2025-06-09 12:26:00,NODE_1,-67,27.70,63.00,737,493.00,0.00,7.32,1
2025-06-09 12:26:10,NODE_1,-61,27.90,63.00,732,478.00,0.00,7.32,1
2025-06-09 12:26:20,NODE_1,-61,27.50,63.00,738,495.00,0.00,7.26,1
2025-06-09 12:26:30,NODE_1,-62,27.50,63.00,737,490.00,0.00,7.32,1
2025-06-09 12:26:40,NODE_1,-62,27.80,62.00,743,482.00,0.00,7.32,1
2025-06-09 12:26:50,NODE_1,-63,27.90,62.00,741,487.00,0.00,7.33,1
2025-06-09 12:27:00,NODE_1,-63,27.70,62.00,739,490.00,0.00,7.31,1
2025-06-09 12:27:10,NODE_1,-63,27.60,62.00,732,495.00,0.00,7.32,1
2025-06-09 12:27:20,NODE_1,-63,27.70,62.00,726,437.00,0.00,7.32,1
2025-06-09 12:27:30,NODE_1,-60,27.30,62.00,733,486.00,0.00,7.32,1
2025-06-09 12:27:41,NODE_1,-63,27.80,62.00,733,528.00,0.00,7.34,1
2025-06-09 12:27:51,NODE_1,-63,27.50,62.00,738,511.00,0.00,7.29,1
2025-06-09 12:28:01,NODE_1,-61,27.30,62.00,734,508.00,0.00,7.37,1
2025-06-09 12:28:11,NODE_1,-65,27.40,62.00,731,495.00,0.00,7.32,1
2025-06-09 12:28:21,NODE_1,-66,27.40,62.00,658,533.00,0.00,7.33,1
2025-06-09 12:29:06,NODE_1,-62,27.30,62.00,738,485.00,0.00,7.31,1
2025-06-09 12:29:16,NODE_1,-62,27.10,62.00,720,479.00,0.00,7.31,1
2025-06-09 12:29:26,NODE_1,-63,27.70,62.00,715,468.00,0.00,7.31,1
2025-06-09 12:29:36,NODE_1,-63,27.80,62.00,723,468.00,0.00,7.34,1
2025-06-09 12:29:46,NODE_1,-62,27.50,62.00,727,478.00,0.00,7.33,1
2025-06-09 12:29:56,NODE_1,-63,27.60,62.00,727,481.00,0.00,7.32,1
2025-06-09 12:30:06,NODE_1,-62,27.40,62.00,735,488.00,0.00,7.31,1
2025-06-09 12:30:16,NODE_1,-60,27.20,62.00,733,490.00,0.00,7.32,1
2025-06-09 12:30:26,NODE_1,-60,27.30,62.00,721,484.00,0.00,7.31,1
2025-06-09 12:30:36,NODE_1,-63,27.60,62.00,739,487.00,0.00,7.33,1
2025-06-09 12:30:46,NODE_1,-65,27.10,62.00,673,470.00,0.00,7.32,1
2025-06-09 12:32:34,NODE_1,-63,27.50,62.00,685,499.00,0.00,7.34,1
2025-06-09 12:32:44,NODE_1,-61,27.40,63.00,711,486.00,0.00,7.30,1
2025-06-09 12:32:54,NODE_1,-62,27.30,63.00,679,494.00,0.00,7.32,1
2025-06-09 12:33:04,NODE_1,-63,27.60,63.00,737,504.00,0.00,7.31,1
2025-06-09 12:33:15,NODE_1,-62,27.60,63.00,737,504.00,0.00,7.31,1
2025-06-09 12:33:25,NODE_1,-62,27.90,63.00,714,465.00,0.00,7.32,1
2025-06-09 12:33:35,NODE_1,-59,27.00,63.00,710,487.00,0.00,7.32,1
2025-06-09 12:33:45,NODE_1,-62,27.00,63.00,710,487.00,0.00,7.32,1
2025-06-09 12:33:55,NODE_1,-62,27.60,63.00,706,486.00,0.00,7.33,1
2025-06-09 12:34:05,NODE_1,-62,27.60,63.00,706,486.00,0.00,7.33,1
2025-06-09 12:34:15,NODE_1,-60,27.60,63.00,703,474.00,0.00,7.33,1
2025-06-09 12:34:25,NODE_1,-63,27.50,63.00,705,488.00,0.00,7.32,1
2025-06-09 12:34:35,NODE_1,-62,27.50,63.00,705,488.00,0.00,7.32,1
2025-06-09 12:34:45,NODE_1,-62,27.60,63.00,699,493.00,0.00,7.32,1
2025-06-09 12:40:23,NODE_1,-60,27.70,63.00,658,509.00,0.00,7.32,1
2025-06-09 12:40:34,NODE_1,-57,27.80,63.00,673,491.00,0.00,7.32,1
2025-06-09 12:40:44,NODE_1,-59,27.50,63.00,661,534.00,0.00,7.32,1
2025-06-09 12:40:54,NODE_1,-60,27.00,63.00,642,487.00,0.00,7.33,1
2025-06-09 12:41:04,NODE_1,-61,27.70,63.00,644,474.00,0.00,7.28,1
2025-06-09 12:41:14,NODE_1,-64,27.40,63.00,651,498.00,0.00,7.32,1
2025-06-09 12:41:24,NODE_1,-63,27.40,63.00,638,479.00,0.00,7.34,1
2025-06-09 12:41:34,NODE_1,-60,27.90,64.00,577,481.00,0.00,7.32,1
2025-06-09 12:41:44,NODE_1,-61,27.90,64.00,577,481.00,0.00,7.32,1
2025-06-09 12:41:54,NODE_1,-61,27.50,63.00,528,495.00,0.00,7.26,1
2025-06-09 12:42:04,NODE_1,-61,27.50,63.00,528,495.00,0.00,7.26,1
2025-06-09 12:42:14,NODE_1,-67,27.60,63.00,619,494.00,0.00,7.32,1
2025-06-09 12:42:39,NODE_1,-63,27.50,63.00,624,496.00,0.00,7.32,1
2025-06-09 12:42:50,NODE_1,-62,27.90,63.00,668,496.00,0.00,7.32,1
2025-06-09 12:43:00,NODE_1,-61,27.90,63.00,731,490.00,0.00,7.31,1
2025-06-09 12:43:10,NODE_1,-63,27.60,63.00,550,496.00,0.00,7.32,1
2025-06-09 12:43:20,NODE_1,-62,27.20,63.00,656,493.00,0.00,7.31,1
2025-06-09 12:43:30,NODE_1,-62,27.00,63.00,696,493.00,0.00,7.32,1
2025-06-09 12:43:40,NODE_1,-61,27.40,63.00,673,494.00,0.00,7.31,1
2025-06-09 12:43:50,NODE_1,-62,27.00,63.00,702,511.00,0.00,7.36,1
2025-06-09 12:44:00,NODE_1,-63,27.70,63.00,693,488.00,0.00,7.26,1
2025-06-09 12:44:10,NODE_1,-63,27.80,63.00,671,485.00,0.00,7.32,1
2025-06-09 12:44:20,NODE_1,-61,27.70,63.00,669,476.00,0.00,7.32,1
2025-06-09 12:44:30,NODE_1,-61,27.90,63.00,686,490.00,0.00,7.32,1
2025-06-09 12:44:40,NODE_1,-61,27.80,63.00,677,496.00,0.00,7.32,1
