timestamp,nodeId,rssi,temp,hum,light,co2ppm,soilMoisture,voltage
2025-06-07 13:16:34,NODE_1,-40,26.40,59.00,779,1275.00,0.00,7.07
2025-06-07 13:16:44,NODE_1,-40,27.20,68.00,783,816.00,0.00,6.77
2025-06-07 13:16:54,NODE_1,-40,27.70,65.00,754,665.00,0.00,6.97
2025-06-07 13:17:04,NODE_1,-40,27.70,57.00,745,567.00,0.00,6.86
2025-06-07 13:17:14,NODE_1,-40,27.20,56.00,757,2293.00,0.00,6.93
2025-06-07 13:17:24,NODE_1,-40,27.90,64.00,720,1151.00,0.00,6.73
2025-06-07 13:17:34,NODE_1,-40,27.90,60.00,798,2557.00,0.00,6.92
2025-06-07 13:17:44,NODE_1,-40,27.10,65.00,810,1238.00,0.00,7.05
2025-06-07 13:17:54,NODE_1,-40,27.80,59.00,713,827.00,0.00,6.93
2025-06-07 13:18:04,NODE_1,-40,27.00,55.00,647,704.00,0.00,6.70
2025-06-07 13:18:15,NODE_1,-40,27.50,55.00,693,623.00,0.00,6.72
2025-06-07 13:18:25,NODE_1,-40,27.90,53.00,694,570.00,0.00,6.75
2025-06-07 13:18:35,NODE_1,-40,27.10,52.00,706,530.00,0.00,6.86
2025-06-07 13:18:45,NODE_1,-40,27.80,51.00,746,510.00,0.00,6.75
2025-06-07 13:18:55,NODE_1,-40,27.50,52.00,699,511.00,0.00,7.01
2025-06-07 13:19:05,NODE_1,-40,27.50,52.00,677,506.00,0.00,6.95
2025-06-07 13:19:15,NODE_1,-40,27.60,51.00,732,495.00,0.00,7.04
2025-06-07 13:19:25,NODE_1,-40,27.60,51.00,725,496.00,0.00,6.98
2025-06-07 13:19:35,NODE_1,-40,27.00,51.00,665,483.00,0.00,6.77
2025-06-07 13:19:45,NODE_1,-40,27.60,51.00,650,477.00,0.00,6.83
2025-06-07 13:19:55,NODE_1,-40,27.50,51.00,651,475.00,0.00,6.86
2025-06-07 13:20:05,NODE_1,-40,27.10,51.00,651,475.00,0.00,6.79
2025-06-07 13:20:15,NODE_1,-40,27.50,50.00,659,478.00,0.00,7.05
2025-06-07 13:20:25,NODE_1,-40,27.30,50.00,661,479.00,0.00,6.93
2025-06-07 13:20:35,NODE_1,-40,27.30,50.00,631,480.00,0.00,6.74
2025-06-07 13:20:45,NODE_1,-40,27.10,50.00,635,477.00,0.00,6.75
2025-06-07 13:20:55,NODE_1,-40,27.90,50.00,480,478.00,0.00,6.79
2025-06-07 13:21:05,NODE_1,-40,27.60,51.00,618,478.00,0.00,6.95
2025-06-07 13:21:15,NODE_1,-40,27.00,50.00,545,479.00,0.00,6.70
2025-06-07 13:21:25,NODE_1,-40,27.90,50.00,543,473.00,0.00,6.78
2025-06-07 13:21:35,NODE_1,-40,27.70,51.00,545,471.00,0.00,6.78
2025-06-07 13:21:45,NODE_1,-40,27.40,50.00,545,470.00,0.00,7.00
2025-06-07 13:21:55,NODE_1,-40,27.90,50.00,548,463.00,0.00,6.84
2025-06-07 13:22:05,NODE_1,-40,27.90,50.00,525,463.00,0.00,6.98
2025-06-07 13:22:15,NODE_1,-40,27.50,50.00,576,455.00,0.00,6.98
2025-06-07 13:22:25,NODE_1,-40,27.50,50.00,618,457.00,0.00,7.02
2025-06-07 13:22:36,NODE_1,-40,27.40,50.00,629,453.00,0.00,6.90
2025-06-07 13:22:46,NODE_1,-40,27.40,50.00,641,448.00,0.00,6.92
2025-06-07 13:22:56,NODE_1,-40,26.90,50.00,658,451.00,0.00,6.76
2025-06-07 13:23:06,NODE_1,-40,27.90,51.00,646,454.00,0.00,6.80
2025-06-07 13:23:16,NODE_1,-40,27.70,50.00,657,449.00,0.00,6.72
2025-06-07 13:23:26,NODE_1,-40,27.20,50.00,666,446.00,0.00,6.99
2025-06-07 13:23:36,NODE_1,-40,27.90,50.00,667,445.00,0.00,6.84
2025-06-07 13:23:46,NODE_1,-40,27.20,49.00,670,446.00,0.00,6.72
2025-06-07 13:23:56,NODE_1,-40,27.50,50.00,634,448.00,0.00,6.77
2025-06-07 13:24:06,NODE_1,-40,27.10,50.00,644,450.00,0.00,6.85
2025-06-07 13:24:16,NODE_1,-40,27.10,50.00,646,450.00,0.00,6.90
2025-06-07 13:24:26,NODE_1,-40,27.30,49.00,674,449.00,0.00,6.80
2025-06-07 13:24:36,NODE_1,-40,27.80,51.00,635,450.00,0.00,6.79
2025-06-07 13:24:46,NODE_1,-40,27.00,50.00,622,442.00,0.00,6.70
2025-06-07 13:24:56,NODE_1,-40,27.80,50.00,633,444.00,0.00,6.79
2025-06-07 13:25:06,NODE_1,-40,27.80,49.00,627,436.00,0.00,6.71
2025-06-07 13:25:16,NODE_1,-40,27.10,49.00,631,433.00,0.00,6.86
2025-06-07 13:25:26,NODE_1,-40,27.30,49.00,621,433.00,0.00,6.75
2025-06-07 13:25:36,NODE_1,-40,27.80,49.00,629,433.00,0.00,6.98
2025-06-07 13:25:46,NODE_1,-40,27.10,49.00,578,450.00,0.00,6.93
2025-06-07 13:25:56,NODE_1,-40,27.00,49.00,579,436.00,0.00,6.75
2025-06-07 13:26:06,NODE_1,-40,27.90,49.00,632,432.00,0.00,6.85
2025-06-07 13:26:16,NODE_1,-40,27.10,49.00,625,432.00,0.00,6.72
2025-06-07 13:26:26,NODE_1,-40,27.90,49.00,670,433.00,0.00,6.87
2025-06-07 13:26:36,NODE_1,-40,27.20,49.00,661,434.00,0.00,6.98
2025-06-07 13:26:46,NODE_1,-40,27.10,49.00,674,433.00,0.00,6.79
2025-06-07 13:26:56,NODE_1,-40,27.60,49.00,645,434.00,0.00,6.83
2025-06-07 13:27:07,NODE_1,-40,27.40,49.00,653,435.00,0.00,6.82
2025-06-07 13:27:17,NODE_1,-40,27.30,49.00,618,436.00,0.00,6.79
2025-06-07 13:27:27,NODE_1,-40,27.40,49.00,656,435.00,0.00,7.00
2025-06-07 13:27:37,NODE_1,-40,26.20,49.00,624,442.00,0.00,6.67
2025-06-07 13:27:47,NODE_1,-40,26.60,49.00,624,432.00,0.00,6.89
2025-06-07 13:27:57,NODE_1,-40,26.30,49.00,657,437.00,0.00,6.97
2025-06-07 13:28:07,NODE_1,-40,26.10,49.00,653,434.00,0.00,6.73
2025-06-07 13:28:17,NODE_1,-40,26.40,49.00,653,432.00,0.00,6.89
2025-06-07 13:28:27,NODE_1,-40,26.60,49.00,671,437.00,0.00,6.94
2025-06-07 13:28:37,NODE_1,-40,26.80,49.00,643,436.00,0.00,6.68
2025-06-07 13:28:47,NODE_1,-40,26.00,49.00,633,434.00,0.00,6.79
2025-06-07 13:28:57,NODE_1,-40,26.80,49.00,643,434.00,0.00,6.77
2025-06-07 13:29:07,NODE_1,-40,26.00,49.00,651,431.00,0.00,6.90
2025-06-07 13:29:17,NODE_1,-40,26.70,49.00,598,432.00,0.00,6.93
2025-06-07 13:29:27,NODE_1,-40,26.60,49.00,615,433.00,0.00,6.76
2025-06-07 13:29:37,NODE_1,-40,26.70,49.00,615,433.00,0.00,6.88
2025-06-07 13:29:47,NODE_1,-40,26.10,49.00,611,434.00,0.00,6.85
2025-06-07 13:29:57,NODE_1,-40,26.80,49.00,579,435.00,0.00,6.79
2025-06-07 13:30:07,NODE_1,-40,26.10,49.00,623,435.00,0.00,6.86
2025-06-07 13:30:17,NODE_1,-40,26.50,49.00,592,434.00,0.00,6.84
2025-06-07 13:30:27,NODE_1,-40,26.30,49.00,583,433.00,0.00,6.97
2025-06-07 13:30:37,NODE_1,-40,26.10,49.00,589,433.00,0.00,6.82
2025-06-07 13:30:47,NODE_1,-40,26.20,49.00,587,427.00,0.00,6.83
2025-06-07 13:30:57,NODE_1,-40,26.40,49.00,622,425.00,0.00,6.79
2025-06-07 13:31:07,NODE_1,-40,26.10,49.00,624,432.00,0.00,6.84
2025-06-07 13:31:17,NODE_1,-40,26.70,49.00,579,429.00,0.00,6.71
2025-06-07 13:31:27,NODE_1,-40,26.20,49.00,618,431.00,0.00,6.71
2025-06-07 13:31:38,NODE_1,-40,26.40,49.00,598,432.00,0.00,6.86
2025-06-07 13:31:48,NODE_1,-40,26.20,49.00,633,427.00,0.00,6.97
2025-06-07 13:31:58,NODE_1,-40,26.30,49.00,595,426.00,0.00,6.78
2025-06-07 13:32:08,NODE_1,-40,26.50,49.00,614,429.00,0.00,6.79
2025-06-07 13:32:18,NODE_1,-40,26.50,49.00,644,427.00,0.00,6.70
2025-06-07 13:32:28,NODE_1,-40,26.00,49.00,673,427.00,0.00,6.97
2025-06-07 13:32:38,NODE_1,-40,26.00,49.00,673,423.00,0.00,6.79
2025-06-07 13:32:48,NODE_1,-40,26.60,49.00,665,426.00,0.00,6.83
2025-06-07 13:32:58,NODE_1,-40,26.90,49.00,653,422.00,0.00,6.97
2025-06-07 13:33:08,NODE_1,-40,26.90,49.00,656,429.00,0.00,6.67
2025-06-07 13:33:47,NODE_1,-40,26.30,49.00,592,422.00,0.00,6.69
2025-06-07 13:33:58,NODE_1,-40,26.20,49.00,640,430.00,0.00,6.68
2025-06-07 13:34:08,NODE_1,-40,26.70,49.00,657,427.00,0.00,6.82
2025-06-07 13:34:18,NODE_1,-40,26.20,49.00,668,427.00,0.00,6.86
